#{"t_start": 1786754468.8206692, "env_id": "None"}
r,l,t
-87.088331,100,53.663606
-54.064151,100,53.696876
-61.312412,100,53.722049
-52.118193,100,54.320993
-87.354433,100,54.357535
-97.824746,100,54.391045
-55.481236,100,54.423485
-73.051982,100,54.460418
-45.271375,100,54.493055
-12.205,25,54.505246
-15.979195,27,54.513772
-97.157299,100,54.542012
-56.637715,100,54.576308
-53.282653,100,54.609586
-76.569535,100,54.640804
-49.436008,100,54.673591
-68.461176,100,54.706487
-43.225648,100,54.735874
-61.492353,100,54.771132
-44.857319,100,54.804505
-64.405078,100,54.836956
-52.100001,100,54.867922
-82.746347,100,54.903142
-53.328378,100,54.930361
-67.156639,100,54.96509
-50.525181,100,55.571224
-50.354295,100,55.607451
-69.026161,100,55.638527
-69.088454,100,55.677303
-54.175232,100,55.711929
-39.508874,100,55.742827
-86.252572,100,55.778124
-52.40584,100,55.807966
-58.026558,100,55.833398
-92.096732,100,55.861553
-48.305798,100,55.895251
-54.741105,100,55.923432
-58.251865,100,55.951871
-3.622565,21,55.958239
-50.556557,100,55.991998
-67.717315,100,56.022642
-77.522563,100,56.055027
-22.649663,32,56.064918
-18.662605,28,56.072873
-51.285136,100,56.103514
-38.142337,51,56.119127
-45.586301,100,56.150099
-56.565919,100,56.180414
-56.699525,100,56.208266
-37.670533,100,56.812315
-55.354333,100,56.850394
-50.986449,100,56.883529
-11.388061,21,56.888543
-54.70947,100,56.923557
-27.666597,36,56.937428
-64.156213,100,56.971898
-50.465343,100,57.004019
-71.422867,100,57.034378
-44.619965,100,57.064352
-49.875695,100,57.093874
-49.179438,100,57.127249
-11.528938,29,57.136115
-73.17032,100,57.1689
-66.478451,100,57.201854
-60.759951,100,57.22895
-74.518533,100,57.26369
-62.727823,100,57.291639
-56.689653,100,57.329397
-57.399428,100,57.360991
-73.815726,100,57.395955
-69.797341,100,57.423359
-48.793435,100,58.030724
-49.064285,100,58.066158
-47.878873,100,58.101444
-77.732137,100,58.135642
-47.090735,100,58.166506
-58.369743,100,58.205616
-49.756955,100,58.235663
-50.584951,100,58.263494
-61.116923,100,58.291417
-60.56297,100,58.327636
-63.82749,100,58.35962
-90.998043,100,58.388845
-47.85318,100,58.423362
-55.193968,100,58.456806
-78.238331,100,58.485893
-82.385568,100,58.52057
-73.01012,100,58.553051
-50.039671,100,58.583935
-67.184554,100,58.617934
-50.685523,100,58.649128
-98.756337,100,58.681439
-85.15709,100,59.334986
-49.977399,100,59.36768
-60.187311,100,59.402097
-58.381655,100,59.43036
-58.171424,100,59.46508
-43.08197,100,59.498727
-48.705277,100,59.528035
-17.511482,24,59.534764
-32.440864,44,59.550925
-41.072254,100,59.576881
-38.614472,100,59.611073
-13.353564,33,59.617733
-50.230555,100,59.652112
-12.312577,48,59.66661
-6.936961,28,59.673432
-20.354641,35,59.679992
-36.933504,100,59.714726
-84.626818,100,59.742984
-46.133761,100,59.777617
-72.612892,100,59.812328
-43.825667,100,59.840116
-73.85076,100,59.875066
-74.631451,100,59.908028
-51.674993,100,59.937342
-52.197133,100,60.555898
-57.62754,100,60.58995
-57.067938,100,60.626777
-45.385626,100,60.659384
-69.473962,100,60.69559
